type,entry_price,exit_price,quantity,pnl,entry_time,exit_time,entry_datetime,exit_datetime
long,21607.15,21722.95,0.9256195287208169,107.18674142586993,1704446040000.0,1704446100000.0,2024-01-05 14:44:00,2024-01-05 14:45:00
short,22327.65,22271.05,0.8967104620631896,50.75381215277849,1709719140000.0,1709719200000.0,2024-03-06 15:29:00,2024-03-06 15:30:00
short,22962.35,22798.1,0.8723666397696984,143.28622058217297,1716974040000.0,1716974100000.0,2024-05-29 14:44:00,2024-05-29 14:45:00
short,23351.4,23411.0,0.8590596433118427,-51.19995474138457,1719220440000.0,1719220500000.0,2024-06-24 14:44:00,2024-06-24 14:45:00
short,24091.55,24186.05,0.8322422328112508,-78.6468910006632,1720170840000.0,1720170900000.0,2024-07-05 14:44:00,2024-07-05 14:45:00
short,24883.25,24837.0,0.8051310012029681,37.23730880563728,1722590040000.0,1722590100000.0,2024-08-02 14:44:00,2024-08-02 14:45:00
short,25253.65,25104.7,0.7936169008220546,118.20923737744562,1725441240000.0,1725441300000.0,2024-09-04 14:44:00,2024-09-04 14:45:00
short,25363.9,25871.178000000004,0.7910993693761752,-401.307305898409,1727082840000.0,1727082900000.0,2024-09-23 14:44:00,2024-09-23 14:45:00
long,25055.45,25092.0,0.7976349989220185,29.153559210599195,1728898140000.0,1728898200000.0,2024-10-14 14:59:00,2024-10-14 15:00:00
short,24170.35,24029.1,0.8270850254788537,116.82575984888808,1732871640000.0,1732871700000.0,2024-11-29 14:44:00,2024-11-29 14:45:00
short,24622.2,24419.25,0.8128558657452456,164.9690979529982,1734081240000.0,1734081300000.0,2024-12-13 14:44:00,2024-12-13 14:45:00
long,23807.6,23918.4,0.8420543657127635,93.29962372097664,1735292640000.0,1735292700000.0,2024-12-27 15:14:00,2024-12-27 15:15:00
